Task,Conditions,Date,Model,slope,intercept,rvalue,pvalue,stderr,RMSE,r-squared
Task 1,Baseline,20230405,HMS-Energy-Balance,0.2135104225462937,1.162235328301322,0.5917238821297772,0.16165438720524308,0.1300845846190644,0.98638743,0.3501371526827345
Task 1,Baseline,20230405,HMS-Temperature-Index,0.3718721003234896,1.4227420107234454,0.7169604017098399,0.0697961838449723,0.161702659878432,0.34559062,0.514032217619935
Task 1,Baseline,20230405,iSnobal,0.856606486582651,0.15175083963665204,0.8375252943150947,0.0,0.010582023263391112,0.39361393,0.701448618617586
Task 1,Baseline,20230405,SnowModel,0.7844536950753115,0.15155613807761759,0.7874913060792805,0.0,0.011752495605984186,0.5603162,0.6201425571504511
Task 2,Data Assimilation,20230405,HMS-Energy-Balance,0.20627980982170882,1.253710958456434,0.7020891948835264,0.07863048306159541,0.09356506332001299,0.9155064,0.4929292375721983
Task 2,Data Assimilation,20230405,HMS-Temperature-Index,0.3779164572554489,1.2592490697313512,0.5831239338174373,0.1693925392351145,0.2354566028843396,0.482083,0.340033522190723
Task 2,Data Assimilation,20230405,iSnobal,1.0259615829232303,0.019031371675694242,0.9300026534644704,0.0,0.007677899015651719,0.23853268,0.8649049354509558
Task 2,Data Assimilation,20230405,SnowModel,0.9260449534147387,0.1683707804121366,0.8354300991010053,0.0,0.011661765707836625,0.33317873,0.6979434504839155
Task 1,Baseline,20240315,HMS-Energy-Balance,0.07095615640189885,1.2404291086370163,0.37188244269789106,0.41140679541114855,0.07920969130667785,0.5099066,0.13829655118695022
Task 1,Baseline,20240315,HMS-Temperature-Index,0.4491961037965677,1.3346533650250962,0.7958222948716989,0.032302737783174225,0.15285185560592596,0.37711444,0.6333331250148572
Task 1,Baseline,20240315,iSnobal,0.6744441308277535,0.7190007405382333,0.8319417539557891,0.0,0.00863602528734515,0.27707934,0.6921270819750347
Task 1,Baseline,20240315,SnowModel,0.677200677087707,0.42944210945715766,0.8012108425258377,0.0,0.009744294317346818,0.3184776,0.6419388141809628
Task 2,Data Assimilation,20240315,HMS-Energy-Balance,0.09917073045872611,1.2088191287596504,0.41596539563806706,0.35330802745963663,0.09695872969642158,0.49040082,0.17302721036833366
Task 2,Data Assimilation,20240315,HMS-Temperature-Index,0.1963219932590501,1.389284486330344,0.3491262651087954,0.44275603253154466,0.23565469792889018,0.26325485,0.12188914898881689
Task 2,Data Assimilation,20240315,iSnobal,0.8610594023304766,0.13176461553065866,0.9302874830769259,0.0,0.006518646309400053,0.20746115,0.8654348011696017
Task 2,Data Assimilation,20240315,SnowModel,0.8063949128357637,0.272394051199093,0.8556084196695185,0.0,0.009399138217233243,0.25182673,0.7320657678093709
Task 1,Baseline,20240418,HMS-Energy-Balance,0.14458058269597074,1.0079118117382062,0.5262389922995812,0.22500518516060292,0.10447993008363494,0.28702322,0.27692747701647863
Task 1,Baseline,20240418,HMS-Temperature-Index,0.2114891854672304,1.0957979218919083,0.5376704118971958,0.21322251424833327,0.1483182175276635,0.32398185,0.2890894718297002
Task 1,Baseline,20240418,iSnobal,0.47591187664322393,1.1650965160093525,0.8657390166778641,0.0,0.005456977184497546,0.62658733,0.7495040449983551
